,Train,,,,,,Train,,,,,Test,,,
,Nilai Tugas(x1),Nilai UTS(x2),Nilai Ujian(x3),Status,,,X1,X2,X3,Y,,Nilai Tugas(x1),Nilai UTS(x2),Nilai Ujian(x3),Status
,50,50,50,Tidak lulus ,,,50,50,50,0,,70,74,80,Tidak lulus 
,60,40,30,Tidak lulus ,,,60,40,30,0,,60,69,90,Tidak lulus 
,40,30,70,Tidak lulus ,,,40,30,70,0,,75,80,90,Lulus
,70,43,90,Tidak lulus ,,,70,43,90,0,,83,79,88,Lulus
,65,33,80,Tidak lulus ,,,65,33,80,0,,,,,
,66,48,40,Tidak lulus ,,,66,48,40,0,,,,,
,87,66,60,Tidak lulus ,,,87,66,60,0,,Test,,,
,35,78,75,Tidak lulus ,,,35,78,75,0,,X1,X2,X3,Y
,55,81,83,Tidak lulus ,,,55,81,83,0,,70,74,80,0
,80,75,77,Lulus,,,80,75,77,1,,60,69,90,0
,86,90,77,Lulus,,,86,90,77,1,,75,80,90,1
,87,78,91,Lulus,,,87,78,91,1,,83,79,88,1
,77,71,77,Lulus,,,77,71,77,1,,,,,
,82,76,99,Lulus,,,82,76,99,1,,,,,
,74,88,78,Lulus,,,74,88,78,1,,,,,
Prediksi,74,74,74,?,,,,,,,,,,,
,74,75,76,?,,,,,,,,,,,
,74,75,75,?,,,,,,,,,,,
,75,75,75,?,,,,,,,,,,,
,,,,,,,,,,,,,,,
,bobot awal (W1),0.2,,,,,,,,,,,,,
,bobot awal (W2),0.2,,,,,,,,,,,,,
,bobot awal (W3),0.2,,,,,,,,,,,,,
,learning rate (?),0.005,,,,,,,,,,,,,
,threshold,75,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,Iterasi,X1,X2,X3,V,Output Y',Y,Error,W1 baru,W2 baru,W3 baru,DeltaW1,DeltaW2,DeltaW3,
,1,50,50,50,30,0,0,0,0.2,0.2,0.2,0,0,0,
,,60,40,30,26,0,0,0,0.2,0.2,0.2,0,0,0,
,,40,30,70,28,0,0,0,0.2,0.2,0.2,0,0,0,
,,70,43,90,40.6,0,0,0,0.2,0.2,0.2,0,0,0,
,,65,33,80,35.6,0,0,0,0.2,0.2,0.2,0,0,0,
,,66,48,40,30.8,0,0,0,0.2,0.2,0.2,0,0,0,
,,87,66,60,42.6,0,0,0,0.2,0.2,0.2,0,0,0,
,,35,78,75,37.6,0,0,0,0.2,0.2,0.2,0,0,0,
,,55,81,83,43.8,0,0,0,0.2,0.2,0.2,0,0,0,
,,80,75,77,46.4,0,1,1,0.6,0.575,0.585,0.4,0.375,0.385,
,,86,90,77,148.395,1,1,0,0.6,0.575,0.585,0,0,0,
,,87,78,91,150.285,1,1,0,0.6,0.575,0.585,0,0,0,
,,77,71,77,132.07,1,1,0,0.6,0.575,0.585,0,0,0,
,,82,76,99,150.815,1,1,0,0.6,0.575,0.585,0,0,0,
,,74,88,78,140.63,1,1,0,0.6,0.575,0.585,0,0,0,
,2,50,50,50,88,1,0,-1,0.35,0.325,0.335,-0.25,-0.25,-0.25,
,,60,40,30,44.05,0,0,0,0.35,0.325,0.335,0,0,0,
,,40,30,70,47.2,0,0,0,0.35,0.325,0.335,0,0,0,
,,70,43,90,68.625,0,0,0,0.35,0.325,0.335,0,0,0,
,,65,33,80,60.275,0,0,0,0.35,0.325,0.335,0,0,0,
,,66,48,40,52.1,0,0,0,0.35,0.325,0.335,0,0,0,
,,87,66,60,72,0,0,0,0.35,0.325,0.335,0,0,0,
,,35,78,75,62.725,0,0,0,0.35,0.325,0.335,0,0,0,
,,55,81,83,73.38,0,0,0,0.35,0.325,0.335,0,0,0,
,,80,75,77,78.17,1,1,0,0.35,0.325,0.335,0,0,0,
,,86,90,77,85.145,1,1,0,0.35,0.325,0.335,0,0,0,
,,87,78,91,86.285,1,1,0,0.35,0.325,0.335,0,0,0,
,,77,71,77,75.82,1,1,0,0.35,0.325,0.335,0,0,0,
,,82,76,99,86.565,1,1,0,0.35,0.325,0.335,0,0,0,
,,74,88,78,80.63,1,1,0,0.35,0.325,0.335,0,0,0,
,3,50,50,50,50.5,0,0,0,0.35,0.325,0.335,0,0,0,
,,60,40,30,44.05,0,0,0,0.35,0.325,0.335,0,0,0,
,,40,30,70,47.2,0,0,0,0.35,0.325,0.335,0,0,0,
,,70,43,90,68.625,0,0,0,0.35,0.325,0.335,0,0,0,
,,65,33,80,60.275,0,0,0,0.35,0.325,0.335,0,0,0,
,,66,48,40,52.1,0,0,0,0.35,0.325,0.335,0,0,0,
,,87,66,60,72,0,0,0,0.35,0.325,0.335,0,0,0,
,,35,78,75,62.725,0,0,0,0.35,0.325,0.335,0,0,0,
,,55,81,83,73.38,0,0,0,0.35,0.325,0.335,0,0,0,
,,80,75,77,78.17,1,1,0,0.35,0.325,0.335,0,0,0,
,,86,90,77,85.145,1,1,0,0.35,0.325,0.335,0,0,0,
,,87,78,91,86.285,1,1,0,0.35,0.325,0.335,0,0,0,
,,77,71,77,75.82,1,1,0,0.35,0.325,0.335,0,0,0,
,,82,76,99,86.565,1,1,0,0.35,0.325,0.335,0,0,0,
,,74,88,78,80.63,1,1,0,0.35,0.325,0.335,0,0,0,
,Prediksi,74,74,74,74.74,0,,,,,,,,,
,,79,75,76,77.485,1,,,,,,,,,
,,74,75,75,75.4,1,,,,,,,,,
,,77,75,75,76.45,1,,,,,,,,,
,,70,74,80,75.35,1,Akurasi 75%,,,,,,,,
,,60,69,90,73.575,0,,,,,,,,,
,,75,80,90,82.4,1,,,,,,,,,
,,83,79,88,84.205,1,,,,,,,,,
