SepalLength,SepalWidth,PetalLength,PetalWidth,Name,y1,y2,theta11,theta12,theta13,theta14,theta21,theta22,theta23,theta24,bias1,bias2,result1,result2,activation,,prediction,,error,,dtheta11,dtheta12,dtheta13,dtheta14,dtheta21,dtheta22,dtheta23,dtheta24,dbias1,dbias2
5.1,3.5,1.4,0.2,Iris-setosa,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,5.6,5.6,0.99631576,0.99631576,1,1,6.79E-06,6.79E-06,-0.000137941,-9.47E-05,-3.79E-05,-5.41E-06,-0.000137941,-9.47E-05,-3.79E-05,-5.41E-06,-2.70E-05,-2.70E-05
4.9,3,1.4,0.2,Iris-setosa,1,1,0.500013794,0.500009467,0.500003787,0.500000541,0.500013794,0.500009467,0.500003787,0.500000541,0.500002705,0.500002705,5.250104105,5.250104105,0.994780415,0.994780415,1,1,1.36E-05,1.36E-05,-0.000265598,-0.000162611,-7.59E-05,-1.08E-05,-0.000265598,-0.000162611,-7.59E-05,-1.08E-05,-5.42E-05,-5.42E-05
4.7,3.2,1.3,0.2,Iris-setosa,1,1,0.500040354,0.500025728,0.500011375,0.500001625,0.500040354,0.500025728,0.500011375,0.500001625,0.500008125,0.500008125,5.20029523,5.20029523,0.994515312,0.994515312,1,1,1.50E-05,1.50E-05,-0.000281218,-0.000191468,-7.78E-05,-1.20E-05,-0.000281218,-0.000191468,-7.78E-05,-1.20E-05,-5.98E-05,-5.98E-05
4.6,3.1,1.5,0.2,Iris-setosa,1,1,0.500068476,0.500044874,0.500019154,0.500002822,0.500068476,0.500044874,0.500019154,0.500002822,0.500014108,0.500014108,5.200497502,5.200497502,0.994516415,0.994516415,1,1,1.50E-05,1.50E-05,-0.000275124,-0.00018541,-8.97E-05,-1.20E-05,-0.000275124,-0.00018541,-8.97E-05,-1.20E-05,-5.98E-05,-5.98E-05
5,3.6,1.4,0.2,Iris-setosa,1,1,0.500095988,0.500063415,0.500028125,0.500004018,0.500095988,0.500063415,0.500028125,0.500004018,0.500020089,0.500020089,5.600768504,5.600768504,0.99631858,0.99631858,1,1,6.78E-06,6.78E-06,-0.00013503,-9.72E-05,-3.78E-05,-5.40E-06,-0.00013503,-9.72E-05,-3.78E-05,-5.40E-06,-2.70E-05,-2.70E-05
5.4,3.9,1.7,0.4,Iris-setosa,1,1,0.500109491,0.500073138,0.500031906,0.500004558,0.500109491,0.500073138,0.500031906,0.500004558,0.50002279,0.50002279,6.200955341,6.200955341,0.99797661,0.99797661,1,1,2.05E-06,2.05E-06,-4.41E-05,-3.19E-05,-1.39E-05,-3.27E-06,-4.41E-05,-3.19E-05,-1.39E-05,-3.27E-06,-8.17E-06,-8.17E-06
4.6,3.4,1.4,0.3,Iris-setosa,1,1,0.500113904,0.500076324,0.500033295,0.500004885,0.500113904,0.500076324,0.500033295,0.500004885,0.500023607,0.500023607,5.350855146,5.350855146,0.995278308,0.995278308,1,1,1.11E-05,1.11E-05,-0.00020414,-0.000150886,-6.21E-05,-1.33E-05,-0.00020414,-0.000150886,-6.21E-05,-1.33E-05,-4.44E-05,-4.44E-05
5,3.4,1.5,0.2,Iris-setosa,1,1,0.500134318,0.500091413,0.500039508,0.500006216,0.500134318,0.500091413,0.500039508,0.500006216,0.500028045,0.500028045,5.551070943,5.551070943,0.996131725,0.996131725,1,1,7.48E-06,7.48E-06,-0.000149057,-0.000101359,-4.47E-05,-5.96E-06,-0.000149057,-0.000101359,-4.47E-05,-5.96E-06,-2.98E-05,-2.98E-05
4.4,2.9,1.4,0.2,Iris-setosa,1,1,0.500149223,0.500101549,0.50004398,0.500006812,0.500149223,0.500101549,0.50004398,0.500006812,0.500031026,0.500031026,4.951045035,4.951045035,0.992973708,0.992973708,1,1,2.47E-05,2.47E-05,-0.000431393,-0.000284327,-0.000137261,-1.96E-05,-0.000431393,-0.000284327,-0.000137261,-1.96E-05,-9.80E-05,-9.80E-05
4.9,3.1,1.5,0.1,Iris-setosa,1,1,0.500192363,0.500129982,0.500057706,0.500008773,0.500192363,0.500129982,0.500057706,0.500008773,0.500040831,0.500040831,5.301473787,5.301473787,0.995040477,0.995040477,1,1,1.23E-05,1.23E-05,-0.000239854,-0.000151744,-7.34E-05,-4.89E-06,-0.000239854,-0.000151744,-7.34E-05,-4.89E-06,-4.89E-05,-4.89E-05
